RTCid,Parent,Sprint,SP
1005348,1005343,14.5,5
1005347,1005343,14.4,5
1005346,1005343,14.3,8
1005345,1005343,14.2,1
1005344,1005343,14.1,5
1005286,1002381,14.4,3
1005285,1002381,14.3,5
1005284,1002381,14.2,5
1005280,388053,14.4,5
1005279,388053,14.3,5
1005278,388053,14.2,5
1004858,384136,14.1,2
1004857,384136,14.1,2
1004856,384136,14.1,2
1004738,384036,14.1,5
1004688,388053,14.1,5
1004559,354174,14.1,3
1004531,368860,14.4,2
1004530,368860,14.3,2
1004529,368860,14.2,2
1004528,368860,14.1,2
1004527,368860,14.4,2
1004526,368860,14.3,2
1004525,368860,14.2,2
1004524,368860,14.1,2
1004523,368860,14.3,2
1004522,368860,14.2,2
1004521,368860,14.2,1
1004520,368860,14.1,2
1004518,368860,14.3,2
1004517,368860,14.2,2
1004516,368860,14.3,2
1004515,368860,14.4,2
1004514,368860,14.1,1
1004513,368860,14.1,1
1004511,368860,14.2,3
1004510,368860,14.3,5
1004506,368860,14.3,1
1004505,368860,14.2,3
1004504,368860,14.2,2
1004503,368860,14.1,2
1004502,368860,14.2,1
1004501,368860,14.3,1
1004499,368860,14.3,1
1004497,368860,14.2,1
1004495,368860,14.4,1
1004494,368860,14.3,1
1004493,368860,14.2,2
1004492,368860,14.1,1
1004485,368860,14.3,1
1004484,368860,14.2,1
1004483,368860,14.1,1
1004481,368860,14.2,1
1004479,368860,14.1,1
1004478,368860,14.1,5
1004476,368860,14.1,2
1004472,368860,14.2,5
1004468,368860,14.4,2
1004467,368860,14.3,2
1004465,368860,14.2,2
1004462,368860,14.1,2
1004456,368860,14.3,2
1004455,368860,14.2,2
1004454,368860,14.1,2
1004451,368860,14.3,1
1004449,368860,14.4,1
1004448,368860,14.4,2
1004447,368860,14.3,2
1004445,368860,14.2,3
1004444,368860,14.1,1
1004442,368860,14.2,1
1004441,368860,14.3,3
1004439,368860,14.2,3
1004438,368860,14.3,2
1004436,368860,14.1,1
1004434,368860,14.2,1
1004432,368860,14.4,3
1004431,368860,14.3,1
1004430,368860,14.2,3
1004429,368860,14.1,5
1004425,368860,14.4,1
1004424,368860,14.3,1
1004423,368860,14.2,1
1004421,368860,14.1,1
1004358,381608,14.1,1
1004266,377437,14.4,3
1004262,377437,14.4,3
1004248,377437,14.1,3
1004247,377437,14.1,1
1004246,377437,14.4,3
1004245,377437,14.2,5
1004244,377437,14.3,5
1004243,377437,14.1,5
1004238,381608,14.1,1
1004170,1001248,14.3,3
1004168,1001248,14.3,2
1004167,387448,14.2,2
1004166,387448,14.2,1
1004165,387448,14.1,1
1004164,387448,14.1,2
1003894,383958,14.4,3
1003728,354871,14.5,2
1003727,354871,14.4,1
1003726,354871,14.3,1
1003724,354871,14.2,2
1003723,354871,14.1,3
1003583,354680,14.3,1
1003582,354680,14.1,2
1003581,354680,14.1,3
1003480,1002381,14.3,2
1003372,384136,14.2,3
1003263,342054,14.3,2
1003137,354871,14.5,1
1003135,354871,14.4,1
1003133,354871,14.3,1
1003131,354871,14.2,1
1003128,354871,14.1,1
1002892,353256,14.5,2
1002890,353256,14.5,2
1002886,342054,14.5,5
1002885,342054,14.5,5
1002884,342054,14.5,5
1002883,342054,14.5,2
1002548,396437,14.3,3
1002416,1002381,14.3,1
1002415,1002381,14.4,2
1002413,1002381,14.5,2
1002401,1002036,14.5,2
1002350,1002345,14.4,8
1002348,1002345,14.3,3
1002127,297335,14.5,2
1002094,1002089,14.2,3
1002091,1002089,14.3,8
1002041,1002036,14.3,1
1002040,1002036,14.4,1
1002038,1002036,14.2,1
1002037,1002036,14.5,1
1001945,395174,14.4,2
1001941,395174,14.2,2
1001935,395174,14.1,2
1001926,297335,14.5,3
1001924,297335,14.2,2
1001922,297335,14.2,3
1001921,297335,14.1,5
1001920,297335,14.5,5
1001675,372921,14.5,3
1001674,372921,14.3,3
1001673,372921,14.1,3
1001664,372921,14.5,1
1001663,372921,14.4,1
1001661,372921,14.3,1
1001659,372921,14.2,1
1001658,372921,14.1,1
1001649,1001636,14.4,1
1001646,1001636,14.2,1
1001644,1001636,14.5,2
1001642,1001636,14.5,1
1001404,385856,14.2,5
1001338,396002,14.5,1
1001336,396002,14.4,1
1001334,396002,14.3,1
1001333,396002,14.2,1
1001329,396002,14.1,1
1001262,1001248,14.5,1
1001261,1001248,14.4,1
1001260,1001248,14.4,2
1001259,1001248,14.3,2
1001254,1001248,14.3,1
1001253,1001248,14.1,5
1001252,1001248,14.2,1
1001251,1001248,14.1,2
1001247,1001248,14.2,1
1001058,297335,14.1,3
1001057,297335,14.2,5
1001056,396437,14.3,3
1001051,1000847,14.3,1
1001050,1000847,14.2,2
1001049,1000847,14.2,2
1001047,1000847,14.3,1
1001042,396437,14.3,5
1001041,396437,14.5,3
1001040,396437,14.4,5
1001039,396437,14.2,5
1001038,396437,14.1,5
1001036,396415,14.5,3
1001035,396415,14.4,5
1001034,396415,14.3,5
1001033,396415,14.2,5
1001032,396415,14.1,5
1001028,293338,14.3,5
1001026,293338,14.2,2
1000853,293338,14.2,5
1000852,293338,14.2,2
1000799,379221,14.5,1
1000798,379221,14.5,1
1000797,379221,14.5,1
1000796,379221,14.5,1
1000795,379221,14.5,1
1000794,379221,14.5,1
1000784,379221,14.2,1
1000783,379221,14.5,1
1000768,379221,14.1,1
1000767,379221,14.5,1
1000766,379221,14.5,1
1000765,379221,14.5,1
1000764,379221,14.5,1
1000763,379221,14.5,1
1000762,379221,14.5,1
1000761,379221,14.5,1
1000760,379221,14.5,1
1000759,379221,14.5,1
1000758,379221,14.5,1
1000757,379221,14.5,1
1000756,379221,14.5,1
1000755,379221,14.1,1
1000754,379221,14.5,1
1000753,379221,14.4,1
1000752,379221,14.5,1
1000751,379221,14.2,1
1000750,379221,14.3,1
1000642,396002,14.5,1
1000325,395871,14.4,1
1000324,395871,14.3,1
1000323,395871,14.2,1
1000322,395871,14.1,1
1000321,395871,14.4,1
1000320,395871,14.3,1
1000319,395871,14.2,1
1000316,396308,14.4,1
1000315,396308,14.3,1
1000313,396308,14.2,1
1000312,396308,14.1,1
1000309,396308,14.4,1
1000308,396308,14.3,1
1000307,396308,14.2,1
1000286,395871,14.5,1
1000285,395871,14.4,1
1000284,395871,14.3,1
1000283,395871,14.2,1
1000282,395871,14.1,1
1000268,396308,14.5,1
1000267,396308,14.4,1
1000266,396308,14.3,1
1000265,396308,14.2,1
1000264,396308,14.1,1
1000262,396308,14.4,1
1000261,396308,14.5,1
1000260,396308,14.3,1
1000258,396308,14.2,1
1000257,396308,14.1,3
1000249,1000204,14.5,1
1000248,1000204,14.4,5
1000247,1000204,14.3,5
1000246,1000204,14.2,5
1000245,1000204,14.1,5
1000244,1000204,14.5,3
1000243,1000204,14.4,5
1000242,1000204,14.3,5
1000241,1000204,14.2,5
1000240,1000204,14.1,2
1000239,1000204,14.5,2
1000238,1000204,14.4,5
1000237,1000204,14.3,5
1000236,1000204,14.2,5
1000235,1000204,14.1,5
1000234,1000204,14.5,1
1000233,1000204,14.4,1
1000232,1000204,14.3,1
1000231,1000204,14.2,1
1000230,1000204,14.1,1
1000229,1000204,14.1,2
1000228,1000204,14.5,1
1000227,1000204,14.4,1
1000226,1000204,14.3,1
1000225,1000204,14.2,1
1000224,1000204,14.1,1
1000223,1000204,14.5,2
1000222,1000204,14.4,2
1000221,1000204,14.3,2
1000220,1000204,14.2,2
1000219,1000204,14.1,3
1000158,396819,14.5,1
1000157,396819,14.4,3
1000156,396819,14.3,3
1000155,396819,14.2,3
1000154,396819,14.1,3
1000153,396819,14.5,1
1000152,396819,14.3,1
1000151,396819,14.1,1
1000150,396819,14.5,3
1000149,396819,14.4,5
1000148,396819,14.3,5
1000147,396819,14.2,5
1000146,396819,14.1,5
1000145,396819,14.5,1
1000144,396819,14.4,2
1000143,396819,14.3,2
1000142,396819,14.2,2
1000141,396819,14.1,2
1000140,396819,14.5,3
1000139,396819,14.4,3
1000138,396819,14.3,3
1000137,396819,14.2,3
1000136,396819,14.1,3
1000135,396819,14.5,3
1000134,396819,14.4,3
1000133,396819,14.3,3
1000132,396819,14.2,3
1000131,396819,14.1,3
1000130,396819,14.5,2
1000129,396819,14.4,2
1000128,396819,14.3,2
1000127,396819,14.2,2
1000126,396819,14.1,2
1000125,396819,14.5,2
1000124,396819,14.4,2
1000123,396819,14.3,2
